epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,4545,0.03545,0.94416,1,0.23511,0.000429253,0.000429253,0.000429253
77,4603.09,0.04127,0.94078,1,0.23524,0.000412749,0.000412749,0.000412749
78,4662.24,0.04289,0.94416,1,0.25883,0.000396246,0.000396246,0.000396246
79,4719.35,0.04214,0.9357,1,0.24868,0.000379743,0.000379743,0.000379743
80,4776.03,0.02981,0.93401,1,0.25225,0.000363239,0.000363239,0.000363239
81,4833.24,0.0316,0.94078,1,0.25988,0.000346736,0.000346736,0.000346736
82,4891.38,0.03914,0.94247,1,0.2546,0.000330233,0.000330233,0.000330233
83,4948.62,0.02985,0.94924,1,0.21872,0.000313729,0.000313729,0.000313729
84,5006.76,0.02573,0.94585,1,0.23616,0.000297226,0.000297226,0.000297226
85,5066.81,0.02837,0.94585,1,0.22036,0.000280723,0.000280723,0.000280723
86,5128.61,0.02607,0.94247,1,0.22629,0.00026422,0.00026422,0.00026422
87,5189.08,0.02746,0.94585,1,0.23154,0.000247716,0.000247716,0.000247716
88,5249.93,0.02369,0.94416,1,0.21372,0.000231213,0.000231213,0.000231213
89,5310.1,0.03025,0.94247,1,0.23035,0.00021471,0.00021471,0.00021471
90,5370.56,0.02155,0.95093,1,0.22727,0.000198206,0.000198206,0.000198206
91,5434.7,0.02197,0.94585,1,0.25654,0.000181703,0.000181703,0.000181703
92,5495.47,0.02601,0.94924,1,0.23338,0.0001652,0.0001652,0.0001652
93,5556.66,0.02073,0.94416,1,0.24353,0.000148696,0.000148696,0.000148696
94,5619,0.0203,0.94585,1,0.24023,0.000132193,0.000132193,0.000132193
95,5679.57,0.01873,0.94247,1,0.25056,0.00011569,0.00011569,0.00011569
96,5742.84,0.01983,0.94078,1,0.28722,9.91865e-05,9.91865e-05,9.91865e-05
97,5805.09,0.02084,0.94755,1,0.26325,8.26832e-05,8.26832e-05,8.26832e-05
98,5865.83,0.02062,0.94585,1,0.27033,6.61799e-05,6.61799e-05,6.61799e-05
99,5925.89,0.02554,0.94416,1,0.27433,4.96766e-05,4.96766e-05,4.96766e-05
100,5988.58,0.01249,0.94585,1,0.28295,3.31733e-05,3.31733e-05,3.31733e-05
